Food,Country,Category,Other Language,Other Language2,Region
Biscuit ,USA,International,,,
Apple butter,USA,International,,,
Apple sauce,USA,International,,,
Baked potato,USA,International,,,
Barbecue ,USA,International,,,
Bear claw,USA,International,,,
Beef Manhattan,USA,International,,,
Blue cheese dressing,USA,International,,,
Brunswick stew,USA,International,,,
Buffalo burger,USA,International,,,
Buffalo wing,USA,International,,,
Bull roast,USA,International,,,
Butter cookie,USA,International,,,
Cheese dog,USA,International,,,
Cheese fries,USA,International,,,
Cheese steak,USA,International,,,
Chicago-style_pizza,USA,International,,,
Chicken à la King,USA,International,,,
Chicken and waffles,USA,International,,,
Chicken Divan,USA,International,,,
Chicken fingers,USA,International,,,
Chicken French,USA,International,,,
Chicken fried bacon,USA,International,,,
Chicken fried steak,USA,International,,,
Chicken nugget,USA,International,,,
Chicken parmigiana,USA,International,,,
Chicken sandwich,USA,International,,,
Chili con carne,USA,International,,,
Chili dog,USA,International,,,
Chimichanga,USA,International,,,
Chowder,USA,International,,,
Clam cake,USA,International,,,
Clam chowder,USA,International,,,
Coleslaw,USA,International,,,
Corn chowder,USA,International,,,
Corn dog,USA,International,,,
Corn flakes,USA,International,,,
Corned beef,USA,International,,,
Cornish game hen,USA,International,,,
Crab cake,USA,International,,,
Creamed corn,USA,International,,,
Deviled crab,USA,International,,,
Doughnut,USA,International,,,
Eggo,USA,International,,,
Fried chicken,USA,International,,,
Fried fish,USA,International,,,
Green bean casserole,USA,International,,,
Grits,USA,International,,,
Hamburger,USA,International,,,
Hangtown fry,USA,International,,,
Haystack,USA,International,,,
Hog fry,USA,International,,,
Home fries,USA,International,,,
Hot chicken sandwich,USA,International,,,
Ice cream cake,USA,International,,,
Juba,USA,International,,,
Lobster Newberg,USA,International,,,
Lobster roll,USA,International,,,
London broil,USA,International,,,
Macaroni and cheese,USA,International,,,
Macaroni salad,USA,International,,,
Maple bacon donut,USA,International,,,
Maraca pie,USA,International,,,
Mashed potato,USA,International,,,
Mashed pumpkin,USA,International,,,
Meatcake,USA,International,,,
Meatloaf,USA,International,,,
Mission burrito,USA,International,,,
Mozzarella sticks,USA,International,,,
Mulligan stew,USA,International,,,
Onion ring,USA,International,,,
Oysters Rockefeller,USA,International,,,
Pancakes,USA,International,,,
Pasta salad,USA,International,,,
Pastrami,USA,International,,,
Philadelphia Cheese steak,USA,International,,,
Pop-Tarts,USA,International,,,
Potato salad,USA,International,,,
Potato skins,USA,International,,,
Potato wedges,USA,International,,,
Potatoes O'Brien,USA,International,,,
Pumpkin pie,USA,International,,,
Reuben sandwich,USA,International,,,
Rolled oyster,USA,International,,,
Salisbury steak,USA,International,,,
Sausage gravy,USA,International,,,
Sloppy joe,USA,International,,,
Sour cream,USA,International,,,
Steamed clams,USA,International,,,
Stuffed ham,USA,International,,,
Stuffed peppers,USA,International,,,
Stuffed zucchini,USA,International,,,
Swiss steak,USA,International,,,
Tetrazzini,USA,International,,,
Toaster Strudel,USA,International,,,
Tuna casserole,USA,International,,,
Turducken,USA,International,,,
Thanksgiving turkey,USA,International,,,
Waffle,USA,International,,,
Chow mein,China,International,炒麵,炒面,
Noodle soup,China,International,湯麵,汤面,
Zhajiangmian,China,International,炸醬麵,炸酱面,
Lamian,China,International,,拉面,
Fried Rice,China,International,炒飯,炒饭,
Braised pork,China,International,東坡肉,东坡肉,
Sweet and sour pork,China,International,咕咾肉,咕咾肉,
Twice cooked pork,China,International,回鍋肉,回锅肉,
Cha siu,China,International,叉燒,叉烧,
Century egg,China,International,皮蛋,皮蛋,
Kung Pao chicken,China,International,宮保雞丁,宫保鸡丁,
Peking Duck,China,International,北京烤鴨,北京烤鸭,
Soy egg,China,International,滷蛋,卤蛋,
Tea egg,China,International,茶葉蛋,茶叶蛋,
Buddha's delight,China,International,羅漢齋,罗汉斋,
Pickled vegetables,China,International,醬菜,酱菜,
Dumplings,China,International,,,
Baozi,China,International,包子,包子,
Dim sum,China,International,點心,点心,
Guotie,China,International,鍋貼,锅贴,
Jiaozi,China,International,餃子,饺子,
Mantou,China,International,饅頭,馒头,
Wonton,China,International,餛飩 / 雲吞,馄饨 / 云吞,
Xiaolongbao,China,International,小籠包,小笼包,
